Study Title,Method,Description,Category
"On the interplay between consistency, completeness, and correctness in requirements evolution",Evolutionary proof obligations,"At each step of requirements evolution, prove completeness with respect to the previous version of requirements.","Formal modeling, Goal-oriented"
Use case patterns driven requirements engineering,Use Case Patterns Catalogue Comparison,"The approach involves comparing the requirements of a new project against a pre-constructed catalogue of use case patterns to identify missing requirements.
",Pattern-based
An experimental comparison regarding the completeness of functional requirements specifications,Information Model Approach,"An objective, model-based approach for measuring the completeness of requirements specifications. It consists of an information model combined with a set of assignment rules and a guideline.",Model-based
Domain component-based service requirements modeling and analysis,Requirement Component Directed Graph Construction,"This method involves constructing a directed graph where requirement components are vertices and semantic relations (decomposition and dependency) between components are arcs. The graph is built through a process of analyzing initial requirements, inducing new requirement components through decomposition and dependency relations, and optimizing the resulting model.",Model-based
Automated requirements engineering: Use case patterns-driven approach,Use Case Patterns Catalogue Approach,Analysts browse through a pre-constructed catalogue of use case patterns to extract up to 80% of software systems requirements model. The remaining uncovered requirements indicate potential incompleteness.,Pattern-based
Enhancing domain knowledge for requirements elicitation with Web mining,Ontology Enhancement Method,A method to enhance domain ontologies by adding general concepts mined from web documents to complement domain-specific concepts.,Knowledge-based
Yet another set of requirement metrics for software projects,"Requirements completeness metrics

",Metrics used to check whether specified requirements are complete or not,Metrics-driven
Measuring complexity and completeness of KAOS goal models,"Percentage of leaf goals with associated agents
",This metric calculates the proportion of leaf goals in the model that have been assigned to an agent.,"Goal-oriented, Metrics-driven"
Semantic-based requirements analysis and verification,Ontology-based Completeness Verification,This method uses domain ontology to detect incompleteness in requirements specifications. It involves mapping atomic requirement items to semantic elements in the domain ontology and checking for unmapped elements.,Knowledge-based
Automating scenario-driven structured requirements engineering, Scenario Consistency Analysis,Analyzing the consistency between scenario descriptions and requirements models to identify missing information.,Model-based
"NLARE, a natural language processing tool for automatic requirements evaluation",NLARE Completeness Sub-module,"This module uses a regular expression parser to find three key elements expected in functional requirements: Actor, Function, and Detail.",Pattern-based
Improving requirements quality using essential use case interaction patterns,EUC Interaction Pattern Matching,The extracted EUC model is compared against templates in an EUC interaction pattern library to check for completeness.,Pattern-based
Completeness and consistency analysis on requirements of distributed event-driven systems,Condition Guard Tree Construction and Analysis,"This method involves constructing a tree structure from the condition guards associated with each event, and then analyzing this tree to identify unspecified scenarios.
",manual-based
An empirical comparative evaluation of requirements engineering methods,Degree of functional encapsulations completeness (degFEC),Measures the completeness of functional requirements by comparing the specified functions to a reference model.,Metrics-driven
Using domain ontology as domain knowledge for requirements elicitation,Ontology-based Requirements Elicitation (ORE) method,ORE uses a domain ontology to detect missing requirements by identifying unmapped ontological elements and tracing relationships between concepts.,Knowledge-based
An automatic tool for the analysis of natural language requirements,Under-specification detection,Detects sentences containing words that need to be instantiated or specified further.,Uncategorized
Verifying service-oriented requirements using model checking,Model Checking for Completeness,"The paper proposes using model checking to verify the completeness of the Service-Oriented Feature Model (SOFM). This involves transforming the SOFM into a Simple Service Model (SSM) represented as a Kripke structure, and then verifying reachability properties for each service in the model.",Formal modeling
