Study ID,Title,Does the paper suggest methods to quantify the completeness of requirements?,Name,Description,Category
Ahmad 2018,A tool-based boilerplate technique to improve SRS quality: An evaluation,Yes,Expert Judgment Scoring, Experts score the completeness of the software requirements in the SRS produced using the tool-based boilerplate technique on a 5-point Likert scale.,Other novel indicators
Amaral 2022,AI-Enabled Automation for Completeness Checking of Privacy Policies,Yes,Precision,The proportion of actual incompleteness issues correctly identified by the approach out of all issues identified.,Recall-based metrics
Azeem 2024,A Multi-solution Study on GDPR AI-enabled Completeness Checking of DPAs,Yes,Accuracy (A),The proportion of correct predictions (both true positives and true negatives) among the total number of cases examined.,Recall-based metrics
Bankauskaite 2018,An approach: SysML-based automated completeness evaluation of the system requirements specification,Yes,Functional Requirements Refinement by Behavior Elements Metric (RR_FR),Evaluates the refinement of functional requirements by behavior elements.,Traceability-based metrics
Barnat 2016,Analysing sanity of requirements for avionics systems,Yes,Directed partial coverage function,A function that measures the similarity between edge evaluations in two Büchi automata,Traceability-based metrics
Cailliau 2013,Assessing requirements-related risks through probabilistic goals and obstacles,Yes,Estimated Probability of Satisfaction (EPS),The probability of a goal being satisfied given possible obstructions,Other novel indicators
Chattopadhyay 2023,Completeness of Natural Language Requirements: A Comparative Study of User Stories and Feature Descriptions,Yes,Frame Elements Completeness Ratio,This metric calculates the ratio of frame elements (FEs) that actually appear in a requirement sentence to the total number of FEs that should be evoked by the verbs in the sentence.,Pattern/Template coverage
Eckhardt 2016,Challenging Incompleteness of Performance Requirements by Sentence Patterns,Yes,Completeness Classification,Requirements are classified into three categories based on their completeness level.,Other novel indicators
España 2010,An empirical comparative evaluation of requirements engineering methods,Yes,Degree of functional encapsulations completeness (degFEC),Quantifies the completeness of functional requirements relative to a reference model.,Goal-model-based metrics
Espada 2011,Measuring complexity and completeness of KAOS goal models,Yes,"M1 - Percentage of leaf goals that have an associated agent
","This metric directly quantifies the completeness of the KAOS model in terms of agent assignments.
",Goal-model-based metrics
Espada 2013,A framework to evaluate complexity and completeness of KAOS goal models,Yes,PLGWA (Percentage of Leaf Goals With an Agent),Percentage of leaf goals that have an associated agent in the model.,Traceability-based metrics
Ferrari 2014,Measuring and improving the completeness of natural language requirements,Yes,"Degree of Concept Completeness (degCC)
","Measures the completeness of concepts in the requirements specification compared to the input documents.
",Traceability-based metrics
Gnesi 2005,An automatic tool for the analysis of natural language requirements,Yes,Defect rate,Number of defective sentences divided by the total number of sentences,Defect/TBD counters
