Study ID,Title,19.  Tools:,1 Tool Name,1 Proposed/Referenced,"1 Purpose (Detect, Measure, Correct, Other)",1 Description of Tool Implementation,1 Description of Functionality,"1 Status (Proposed, Implemented, Validated)",1 Method of Validation (if applicable)
Zowghi 2003,"On the interplay between consistency, completeness, and correctness in requirements evolution",,SMACK,Proposed in this paper,"Detect, Measure",Simple propositional logic model checker,Checks consistency and completeness of requirements expressed in propositional logic,"Implemented, Validated","Used on case study example in paper, no formal validation described. The paper states: ""We carry on the proof using a simple ad-hoc model checker for propositional logic, called SMACK, that we developed in-house in support of our framework."""
Liu 2009,Domain component-based service requirements modeling and analysis,,Service Requirements Complete Analyzer, Proposed in this paper,"Detect, Measure, Correct", A software tool developed to implement the proposed approach,"The tool constructs a requirement component directed graph automatically based on initial requirements and domain knowledge. It can generate, clear, delete, optimize, and submit requirement components.",Implemented,
Issa 2011,Automated requirements engineering: Use case patterns-driven approach,,Automated Use Case Patterns Catalogue,Proposed in this paper,"Detect, Measure, Correct",Implemented as a plugin for the StarUML open-source CASE tool,"Browse and select use case patterns from catalogue
Create and maintain user projects
Load selected patterns into StarUML
Maintain catalogue (add/update patterns and application domains)
Calculate completeness metrics (Overall Catalogue Recall, Actual Catalogue Recall)","Implemented, Validated","Applied in 2 additional projects, compared against manual approach. Showed 43% additional time savings over manual approach while maintaining similar completeness levels."
Kaiya 2010,Enhancing domain knowledge for requirements elicitation with Web mining,,OREW (domain Ontology Reconstruction Environment by Web search),Proposed in this paper,"Detect, Measure", Supports the proposed ontology enhancement method,"Divides ontology into sub-domains
Performs web mining using Yahoo! Web API
Identifies and prioritizes candidate concepts
Provides GUI for selecting new concepts to add to the ontology"," Implemented, Validated","Used in the comparative experiment to enhance ontologies, which led to improved completeness and correctness of elicited requirements"
Zhu 2000,Automating scenario-driven structured requirements engineering,,RASS (Requirements Analysis and Specification System),Proposed in this paper,"Detect, Measure, Correct",Automated toolkit for scenario analysis and requirements validation,"Scenario consistency and completeness checking
Requirements model synthesis
Test scenario generation
Test adequacy measurement","Implemented, Validated","Empirical studies conducted, but detailed results not provided in this paper."
Huertas 2012,"NLARE, a natural language processing tool for automatic requirements evaluation",,NLARE (Natural Language Automatic Requirement Evaluator),Proposed in this paper,"Detect, Measure","The tool is implemented as a command-line application using Python, with the NLTK (Natural Language ToolKit) for processing and PyEnchant library for spell checking.","NLARE processes requirements text to detect issues related to atomicity, ambiguity, and completeness. For completeness, it checks for the presence of Actor, Function, and Detail elements in each requirement.","Implemented, Validated","The tool was validated by comparing its results to human evaluation on a real project. For completeness detection, it achieved 56% concordance with human evaluation. The tool was also evaluated for speed, processing 237.6 requirements per minute compared to 0.9 requirements per minute for manual evaluation."
Kamalrudin 2011,Improving requirements quality using essential use case interaction patterns,,MaramaAI (Automated Inconsistency checker),Proposed in this paper,"Detect, Measure, Correct","Developed using Marama meta-tools and specialized components for requirements extraction, analysis, comparison to pattern library, and visual differencing.","Extracts abstract interactions from textual natural language requirements
Generates EUC models from abstract interactions
Checks consistency between textual requirements, abstract interactions, and EUC models
Compares extracted EUC models against a library of EUC interaction patterns
Highlights inconsistencies, incompleteness, and incorrectness using visual differencing
Supports interactive resolution of identified issues","Implemented, Validated","Validated through a user study with 11 participants, focusing on usefulness, ease of use, ease of learning, and user satisfaction. The study also included a Cognitive Dimensions of Notations analysis."
Yu 2008,Completeness and consistency analysis on requirements of distributed event-driven systems,,Not specified,Proposed in this paper,"Detect, Measure","The paper mentions that the process of extracting scenario elements from the formal scenario model is ""implemented in Java."" However, it does not provide detailed information about the full tool implementation.","The tool functionality includes:

Parsing a formal scenario model to recognize tokens and organize the syntax tree
Generating an XML format file based on the syntax tree
Traversing the XML DOM tree to extract condition guards, associated events, and actions
Constructing a condition guard tree
Performing completeness analysis on the tree
Performing consistency analysis on the tree
Status: Proposed, Partially Implemented
Validation: Not validated in this paper. The paper provides an example application (Car Alarm System) to illustrate the approach, but does not present a formal validation of the tool.",,
Gnesi 2005,An automatic tool for the analysis of natural language requirements,,QuARS (Quality Analyzer for Requirement Specifications),Proposed in this paper,"Detect, Measure",Software tool implemented in C++ with a graphical user interface,"Performs linguistic analysis of natural language requirements
Detects potential defects related to expressiveness, consistency, and completeness
Calculates metrics such as defect rates and readability index
Clusters requirements into ""Views"" based on specific topics or aspects","Implemented, Validated",Validated through multiple case studies with industrial requirements documents. The tool demonstrated ability to detect defects not found by manual analysis and provided consistent results across different domains.
Xiaoxia 2008,Verifying service-oriented requirements using model checking,,SMV (Symbolic Model Verifier),Referenced ,Measure,Not described in detail in the paper,SMV is mentioned as the model checker used to verify the CTL formulas generated from the SOFM.,, Not validated in this paper.
Kim 2003,"Assessment of high integrity software components for completeness, consistency, fault-tolerance, and reliability",,"Z/Eves
",Referenced,"Detect
",Not described in detail in the paper,"Z/Eves is a tool for analyzing and proving Z specifications
"," Implemented, Validated",
